Data,Temperatura,Umidade,IndiceCalor
1700598458,45.0,33.0,56.557762
1700598461,46.0,33.0,59.304157
1700598465,49.0,33.0,68.224632
1700598467,52.0,34.0,79.666237
1700598472,54.0,34.0,87.08532
1700598474,56.0,34.0,94.974419
1700598477,57.0,33.0,97.009056
1700598480,57.0,33.0,97.009056
1700598483,57.0,32.0,94.949478
1700598486,57.0,31.0,92.916466
1700598489,57.0,30.0,90.910042
1700598492,56.0,29.0,85.429451
1700598495,56.0,28.0,83.598267
1700598498,56.0,27.0,81.793015
1700598501,55.0,26.0,76.96286
1700598504,54.0,25.0,72.472336
1700598507,53.0,25.0,69.700592
1700598510,53.0,24.0,68.307281
1700598513,52.0,24.0,65.720253
1700598516,51.0,23.0,62.042252
1700598519,50.0,23.0,59.704426
1700598522,49.0,23.0,57.439926
1700598525,49.0,23.0,57.439926
1700598529,48.0,22.0,54.371479
1700598531,47.0,22.0,52.334988
1700598537,46.0,21.0,49.667725
1700598540,46.0,21.0,49.667725
1700598543,45.0,20.0,47.232285
1700598546,44.0,20.0,45.539101
1700598549,43.0,21.0,44.385971
1700598553,42.0,22.0,43.190994
1700598556,42.0,22.0,43.190994
1700598559,41.0,23.0,41.964001
1700598562,41.0,23.0,41.964001
1700598565,40.0,24.0,40.714714
1700598568,40.0,24.0,40.714714
1700598571,39.0,25.0,39.452782
1700598575,39.0,25.0,39.452782
1700598578,38.0,25.0,37.903416
1700598581,38.0,24.0,37.630997
1700598584,38.0,24.0,37.630997
1700598587,37.0,24.0,36.205269
1700598590,37.0,24.0,36.205269
1700598593,37.0,24.0,36.205269
1700598596,36.0,24.0,34.856964
1700598599,36.0,24.0,34.856964
1700598602,36.0,24.0,34.856964
1700598605,35.0,24.0,33.586075
1700598608,35.0,25.0,33.744267
1700598611,35.0,24.0,33.586075
1700598614,34.0,25.0,32.520866
1700598617,34.0,25.0,32.520866
1700598620,34.0,25.0,32.520866
1700598623,34.0,25.0,32.520866
1700598626,33.0,25.0,31.378962
1700598629,33.0,25.0,31.378962
1700598632,33.0,25.0,31.378962
1700598635,33.0,25.0,31.378962
1700598638,32.0,25.0,30.318546
1700598641,32.0,25.0,30.318546
1700598644,32.0,25.0,30.318546
1700598647,31.0,25.0,29.339628
1700598651,31.0,25.0,29.339628
1700598654,31.0,25.0,29.339628
1700598657,31.0,25.0,29.339628
1700598660,31.0,26.0,29.40778
1700598663,30.0,26.0,28.495695
